mode,model,subset,R2_mean,MAE_mean,RMSE_mean,nMAE_pct_mean,nRMSE_pct_mean,R2_sd,MAE_sd,RMSE_sd,nMAE_pct_sd,nRMSE_pct_sd,n_seeds,skill_vs_SmartPersistence
TEMPORAL,BestSingleByVal,ALL,0.6961107416719778,88.39756537006159,196.9642792562645,5.311569547683285,11.83504843486655,0.0,0.0,0.0,0.0,0.0,5,0.01470185973658833
TEMPORAL,BestSingleByVal,daylight,0.49271358108550256,204.7943928103911,304.96970937003164,12.305538685756273,18.324801305040207,0.0,0.0,0.0,0.0,0.0,5,0.01736995510220274
TEMPORAL,CNN,ALL,0.6709660063133843,123.91044021750153,204.93820608783167,7.445441717133717,12.314180034890812,0.008278224168811847,4.425411484961163,2.5668647644085496,0.2659109533286822,0.15423593012518913,5,-0.025187074985009383
TEMPORAL,CNN,daylight,0.49994119893059763,209.35286465267913,302.7860471645012,12.579444874463018,18.193590975606742,0.005244006117523353,1.6013190433713107,1.586198828772573,0.09621891090879556,0.09531037829162607,5,0.024405841044758736
TEMPORAL,Climatology,ALL,0.24488256913667109,182.08033850439088,310.48244113155494,10.940712871254421,18.656046379793935,0.0,0.0,0.0,0.0,0.0,5,-0.5531637157077836
TEMPORAL,Climatology,daylight,-0.09909357084826675,357.4008805458969,448.8977430211982,21.475247937831917,26.97304582850744,0.0,0.0,0.0,0.0,0.0,5,-0.4463744949969295
TEMPORAL,GBM,ALL,0.6852179952967771,90.13191141233906,200.4632398326691,5.4157816895532696,12.045291470049388,0.0,0.0,0.0,0.0,0.0,5,-0.0028014122364021787
TEMPORAL,GBM,daylight,0.4745164623283877,208.287374416173,310.3913755925327,12.515422460837849,18.650574498957752,0.0,0.0,0.0,0.0,0.0,5,-9.896708892886963e-05
TEMPORAL,GBM_kt,ALL,0.7012337951635993,84.32764759064219,195.29698189277164,5.067019245327782,11.734865065949236,0.0,0.0,0.0,0.0,0.0,5,0.02304238217912835
TEMPORAL,GBM_kt,daylight,0.5010736388204402,197.78535441667873,302.4463262126882,11.884384610587658,18.173178066554257,0.0,0.0,0.0,0.0,0.0,5,0.025500441603031665
