mode,fold,model,subset,n,R2,MAE,RMSE,nMAE_pct,nRMSE_pct
TEMPORAL,T4,CNN,daylight,597,0.18235173928794013,244.92163109588512,378.2890634684875,14.716675418058706,22.73036210136799
TEMPORAL,T4,Mean,ALL,1520,0.5858596128610585,93.6748695003637,219.9852984863889,5.628668415678459,13.218318937707494
TEMPORAL,T4,Mean,daylight,597,0.2978167895397764,227.5277882706728,350.5627343664204,13.671526657673533,21.064362311542766
TEMPORAL,T4,InvRMSE,ALL,1520,0.5805431942752963,93.75755227008288,221.3927975730017,5.633636598681237,13.302891733977926
TEMPORAL,T4,InvRMSE,daylight,597,0.2887141680922203,228.3130530782672,352.8276452164749,13.718711086582006,21.200454651292215
TEMPORAL,T4,RidgeStack,ALL,1520,0.6195583866234995,87.58054261384201,210.84527495071742,5.262476869920805,12.66911975474421
TEMPORAL,T4,RidgeStack,daylight,597,0.3549671789419392,219.5246278158565,335.993931730737,13.190638488649112,20.18896254117633
TEMPORAL,T4,NNLSStack,ALL,1520,0.5459116052137182,96.70276173022813,230.35098139669873,5.810606233699652,13.841164662664413
TEMPORAL,T4,NNLSStack,daylight,597,0.23019703336364983,234.14274391588066,367.05430104212275,14.069001371114695,22.055295749376064
TEMPORAL,T4,BestSingleByVal,ALL,1520,0.5478086722610873,94.51070663900947,229.86930357040424,5.678891598566675,13.812221950687793
TEMPORAL,T4,BestSingleByVal,daylight,597,0.23270039041885027,235.1799626270524,366.4569948103957,14.131325025589605,22.019405240652198
TEMPORAL,T4,Persistence,ALL,1520,0.34203194639996626,124.37324322303981,277.28237766594276,7.473250292409546,16.66114476291273
TEMPORAL,T4,Persistence,daylight,597,-0.11732053829102962,313.49565428793846,442.21087442841065,18.837102172169253,26.571250061416784
TEMPORAL,T4,Climatology,ALL,1520,0.14319982687409372,211.14842514982453,316.41687593026205,12.687335226620732,19.012630444384026
TEMPORAL,T4,Climatology,daylight,597,-0.14794192187991562,321.1999382743851,448.22955085762396,19.30003166618644,26.932895976719283
TEMPORAL,T4,SmartPersistence,ALL,1520,0.7436485931470078,74.57799602616306,173.07634613970407,4.481189170329486,10.399687431790895
TEMPORAL,T4,SmartPersistence,daylight,597,0.5654037133732545,186.53073336629396,275.7931865565405,11.208125007829581,16.5716633149309
KFOLD,K1,Ridge,ALL,1553,0.8350244228997232,85.51386000298227,158.08585358100544,5.138295526525041,9.49894945958286
KFOLD,K1,Ridge,daylight,698,0.7281673185955848,168.96435921391748,233.65159802865404,10.152609308722168,14.03948974907916
KFOLD,K1,GBM,ALL,1553,0.8550885830787476,67.66480046626364,148.16119831369318,4.065794030662242,8.902603887525238
KFOLD,K1,GBM,daylight,698,0.757641907118194,146.3282889164776,220.62091645329193,8.792469341430488,13.256511494514106
KFOLD,K1,GBM_kt,ALL,1553,0.8414167271309843,70.92681606085985,154.99292302532268,4.261799685612025,9.313103665257087
KFOLD,K1,GBM_kt,daylight,698,0.7347602235633727,154.57955041936452,230.8007669851926,9.28826522840125,13.868191056715307
KFOLD,K1,GBM_per_hour,ALL,1553,0.8283237458915458,72.21464747939876,161.26432189196072,4.339181976816821,9.689934985236988
KFOLD,K1,GBM_per_hour,daylight,698,0.7122434881999515,158.17380605925825,240.39780684467326,9.504234285054865,14.444851108970369
KFOLD,K1,CNN,ALL,1553,0.8620212244757685,79.32999833784206,144.57370926997172,4.766724079165145,8.687041417252365
KFOLD,K1,CNN,daylight,698,0.7728209307671053,153.86727772133557,213.6004085662811,9.245466697054162,12.834668248653102
KFOLD,K1,Mean,ALL,1553,0.8731055636649435,67.72290949213244,138.64508261882003,4.0692856441581355,8.330806348469508
KFOLD,K1,Mean,daylight,698,0.7878251286137086,142.16639401591195,206.42623659554437,8.542392383745522,12.403591745470202
KFOLD,K1,InvRMSE,ALL,1553,0.8738160202611157,67.47903930224466,138.25641477832446,4.054632146985753,8.30745235385328
KFOLD,K1,InvRMSE,daylight,698,0.7890083855137966,141.6620613612811,205.84983289416053,8.512088404682014,12.368957213007395
