mode,model,subset,n,R2,MAE,RMSE,nMAE_pct,nRMSE_pct,seed
KFOLD,InvRMSE,daylight,3869,0.7643640526576229,140.62127836495506,206.99849398384316,8.449550581995506,12.437977137244282,3
KFOLD,RidgeStack,ALL,8516,0.8532042198517126,79.77982615498254,142.47538134776326,4.793753010620687,8.560958593070527,3
KFOLD,RidgeStack,daylight,3869,0.7612201183026813,145.48649481481073,208.37484016949753,8.741888220818003,12.520678040331232,3
KFOLD,NNLSStack,ALL,8516,0.8612633738148786,68.99922637064319,138.5091955495522,4.145976057934937,8.322641263650429,3
KFOLD,NNLSStack,daylight,3869,0.7692307792634983,140.60194457256864,204.84971078604462,8.448388866936373,12.30886259262736,3
KFOLD,BestSingleByVal,ALL,8516,0.8359895684610962,77.4295167723374,150.59785219232901,4.652529305055598,9.049015799276711,3
KFOLD,BestSingleByVal,daylight,3869,0.728823469025148,153.36152327866802,222.0610882044327,9.215077286610192,13.343047502432078,3
KFOLD,Persistence,ALL,8516,0.5221093109505239,117.21702089743961,257.06759050499755,7.043252334637931,15.446493121235951,3
KFOLD,Persistence,daylight,3869,0.20111317287251806,255.49057983976982,381.1439613598146,15.351734834729655,22.901905159571427,3
KFOLD,Climatology,ALL,8516,0.6902908096457685,104.67523027511066,206.94745449042017,6.289650209238855,12.4349103127468,3
KFOLD,Climatology,daylight,3869,0.48255353884595953,227.50015001746908,306.7461523826314,13.669865950125157,18.431542939489287,3
KFOLD,SmartPersistence,ALL,8516,0.7036135441720341,89.92831396102095,202.44740726722895,5.403548071829975,12.164514700675628,3
KFOLD,SmartPersistence,daylight,3869,0.5045228316773527,195.86704389284523,300.16374611323073,11.76911854280922,18.03602402961138,3
KFOLD,Ridge,ALL,8516,0.7952413076580399,89.30820972785942,168.26903962998327,5.366287693136719,10.110829443943409,4
KFOLD,Ridge,daylight,3869,0.6622398199688272,178.01025845337793,247.82815122414837,10.696152818439716,14.89132031623415,4
KFOLD,GBM,ALL,8516,0.8393440080581144,67.91549986252025,149.04983732478706,4.0808578762919785,8.955999791478588,4
KFOLD,GBM,daylight,3869,0.731794902395317,145.32927659109853,220.8411130550318,8.73244140488009,13.269742510090254,4
KFOLD,GBM_kt,ALL,8516,0.8310351780173181,70.0315816424105,152.8555422178383,4.208007481548857,9.184674259296525,4
KFOLD,GBM_kt,daylight,3869,0.7181602740488922,151.05024127462784,226.38493206713517,9.076198630197263,13.602855533274589,4
KFOLD,GBM_per_hour,ALL,8516,0.826916227604706,71.51990892790636,154.7074466695527,4.29743702469896,9.295950166611012,4
KFOLD,GBM_per_hour,daylight,3869,0.7108339831216375,154.63669947445638,229.30843999133148,9.291699159861173,13.778521181955803,4
